CodeEtb,Etablissement,CodeFil,Filiere,Min1,Min2,Min3
C99,RECRUTEMENT NATIONAL,P01MAL01,MEDECINE,16.52,16.52,16.52
C99,RECRUTEMENT NATIONAL,P02MAL01,PHARMACIE,15.94,15.94,15.94
C99,RECRUTEMENT NATIONAL,P03MAL01,MEDECINE DENTAIRE,16.42,16.42,16.42
P73,ECOLE NATIONALE SUPERIEURE D AGRICULTURE SAHARIENNE D ADRAR,D00CAN12,FB SP ECOLE NATIONALE SUPERIEURE D AGRICULTURE SAHARIENNE D ADRAR,11.66,11.66,11.66
U12,UNIV. ADRAR,A00LAL01,SCIENCES ET TECHNOLOGIES,9.31,9.31,9.31
U12,UNIV. ADRAR,A05TCL01,GENIE CIVIL,9.95,9.95,9.95
U12,UNIV. ADRAR,A08TCL01,GENIE DES PROCEDES,10.14,10.14,10.14
U12,UNIV. ADRAR,A16TCL01,ELECTROTECHNIQUE,10.27,10.27,10.27
U12,UNIV. ADRAR,A19TCL01,GENIE MECANIQUE,10.17,10.17,10.17
U12,UNIV. ADRAR,B00LAL01,SCIENCES DE LA MATIERE,8.09,8.09,8.09
U12,UNIV. ADRAR,C01LAL01,INFORMATIQUE,11.11,11.11,11.11
U12,UNIV. ADRAR,C02LAL01,MATHEMATIQUES,9.58,9.58,9.58
U12,UNIV. ADRAR,D00LAL01,SCIENCES DE LA NATURE ET DE LA VIE,11.67,11.67,11.67
U12,UNIV. ADRAR,D03TCL01,SCIENCES AGRONOMIQUES,9.05,9.05,9.05
U12,UNIV. ADRAR,F00LAL02,"SCIENCES ECONOMIQUES, DE GESTION ET COMMERCIALES",10.0,10.0,10.0
U12,UNIV. ADRAR,G01LAL02,SCIENCES POLITIQUES,10.0,10.0,10.0
U12,UNIV. ADRAR,G02LAL01,DROIT,10.0,10.0,10.0
U12,UNIV. ADRAR,H01LAL01,LANGUE FRANCAISE,10.69,10.69,10.69
U12,UNIV. ADRAR,H06LAL01,LANGUE ANGLAISE,10.03,10.03,10.03
U12,UNIV. ADRAR,I17LAL02,SCIENCES HUMAINES,10.21,10.21,10.21
U12,UNIV. ADRAR,I19LAL01,SCIENCES SOCIALES,10.93,10.93,10.93
U12,UNIV. ADRAR,I20LAL01,SCIENCES ISLAMIQUES,10.0,10.0,10.0
U12,UNIV. ADRAR,L00LAL01,LANGUE ET LITTERATURE ARABES,10.0,10.0,10.0
E13,UNIV. BISKRA,F00LAL02,"SCIENCES ECONOMIQUES, DE GESTION ET COMMERCIALES",10.0,10.0,10.0
E13,UNIV. BISKRA,G01LAL01,SCIENCES POLITIQUES,10.05,10.05,10.05
E13,UNIV. BISKRA,G02LAL03,DROIT,10.0,10.0,10.0
E13,UNIV. BISKRA,H01LAL01,LANGUE FRANCAISE,11.03,11.03,11.03
E13,UNIV. BISKRA,H06LAL01,LANGUE ANGLAISE,9.47,9.47,9.47
E13,UNIV. BISKRA,I17LAL01,SCIENCES HUMAINES,10.0,10.0,10.0
E13,UNIV. BISKRA,I19LAL01,SCIENCES SOCIALES,10.0,10.0,10.0
E13,UNIV. BISKRA,J00LAL01,SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES,10.0,10.0,10.0
E13,UNIV. BISKRA,L00LAL02,LANGUE ET LITTERATURE ARABES,10.0,10.0,10.0
E13,UNIV. BISKRA,N01LAL01,GESTION DES TECHNIQUES URBAINES,8.23,8.23,8.23
E13,UNIV. BISKRA,N02FPN03,MANAGEMENT DES PROJETS DE CONSTRUCTION,7.51,7.51,7.51
E13,UNIV. BISKRA,N05IAL01,ARCHITECTURE,12.96,12.96,12.96
E13,UNIV. BISKRA,P04VAL01,SCIENCES VETERINAIRES,12.24,12.24,12.24
U11,UNIV. BECHAR,A00LAL01,SCIENCES ET TECHNOLOGIES,8.15,8.15,8.15
U11,UNIV. BECHAR,A00TCL03,SCIENCES ET TECHNOLOGIES,11.14,11.14,11.14
U11,UNIV. BECHAR,A05TCL01,GENIE CIVIL,11.57,11.57,11.57
U11,UNIV. BECHAR,A08TCL01,GENIE DES PROCEDES,10.88,10.88,10.88
U11,UNIV. BECHAR,A16TCL01,ELECTROTECHNIQUE,11.21,11.21,11.21
U11,UNIV. BECHAR,A19TCL01,GENIE MECANIQUE,11.14,11.14,11.14
U11,UNIV. BECHAR,B00LAL01,SCIENCES DE LA MATIERE,8.81,8.81,8.81
U11,UNIV. BECHAR,C01LAL01,INFORMATIQUE,11.52,11.52,11.52
U11,UNIV. BECHAR,C01TCL03,INFORMATIQUE,13.05,13.05,13.05
U11,UNIV. BECHAR,C02LAL01,MATHEMATIQUES,12.06,12.06,12.06
Etb,,,,,,
E42,ECOLE NORMALE SUPERIEURE DE SETIF,H01PPL01,FRANCAIS (P.E.P) -- pour bacheliers BEJAIA,,,
E42,ECOLE NORMALE SUPERIEURE DE SETIF,H01PPL01,FRANCAIS (P.E.P) -- pour bacheliers JIJEL,14.65,14.65,14.65
E42,ECOLE NORMALE SUPERIEURE DE SETIF,H01PPL01,FRANCAIS (P.E.P) -- pour bacheliers SETIF,14.75,14.75,14.75
E42,ECOLE NORMALE SUPERIEURE DE SETIF,H01PSL01,LANGUE FRANCAISE (P.E.S) -- pour bacheliers BEJAIA,14.8,14.8,14.8
E42,ECOLE NORMALE SUPERIEURE DE SETIF,H01PSL01,LANGUE FRANCAISE (P.E.S) -- pour bacheliers JIJEL,16.1,16.1,16.1
E42,ECOLE NORMALE SUPERIEURE DE SETIF,H01PSL01,LANGUE FRANCAISE (P.E.S) -- pour bacheliers SETIF,15.23,15.23,15.23
E42,ECOLE NORMALE SUPERIEURE DE SETIF,H06PML01,LANGUE ANGLAISE (P.E.M) -- pour bacheliers BEJAIA,14.9,14.9,14.9
E42,ECOLE NORMALE SUPERIEURE DE SETIF,H06PML01,LANGUE ANGLAISE (P.E.M) -- pour bacheliers JIJEL,16.52,16.52,16.52
E42,ECOLE NORMALE SUPERIEURE DE SETIF,H06PML01,LANGUE ANGLAISE (P.E.M) -- pour bacheliers SETIF,16.11,16.11,16.11
E42,ECOLE NORMALE SUPERIEURE DE SETIF,H06PML01,LANGUE ANGLAISE (P.E.M) -- pour bacheliers B.B.ARRERIDJ,15.58,15.58,15.58
E42,ECOLE NORMALE SUPERIEURE DE SETIF,H06PPL01,LANGUE ANGLAISE (P.E.P) -- pour bacheliers BATNA,15.33,15.33,15.33
