"CodeEtb",Etablissement,Code Fil,Filiere,Min1,Unnamed: 0,Min2,Min3
E12,UNIV. TEBESSA,F00LAL01,"SCIENCES ECONOMIQUES, DE GESTION ETCOMMERCIALES",10.0,nan,10.09,10.0
E12,UNIV. TEBESSA,G01LAL01,SCIENCES POLITIQUES,10.02,nan,10.07,10.08
E12,UNIV. TEBESSA,G02LAL01,DROIT,10.0,nan,10.0,10.05
E12,UNIV. TEBESSA,H01LAL01,LANGUE FRANCAISE,10.41,nan,9.55,9.44
E12,UNIV. TEBESSA,H06LAL01,LANGUE ANGLAISE,11.35,nan,12.07,12.9
E12,UNIV. TEBESSA,I17LAL01,SCIENCES HUMAINES,10.0,nan,10.35,nan
E12,UNIV. TEBESSA,I19LAL01,SCIENCES SOCIALES,10.0,nan,10.02,nan
E12,UNIV. TEBESSA,I20LAL02,SCIENCES ISLAMIQUES,10.03,nan,10.1,nan
E12,UNIV. TEBESSA,J00LAL01,"SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ETSPORTIVES",10.0,nan,nan,nan
E12,UNIV. TEBESSA,L00LAL01,LANGUE ET LITTERATURE ARABES,10.0,nan,10.1,nan
E12,UNIV. TEBESSA,N02FPN05,MANAGEMENT DES PROJETS DE CONSTRUCTION,7.95,nan,nan,nan
E12,UNIV. TEBESSA,N05IAL02,ARCHITECTURE,8.68,nan,nan,nan
U47,C. UNIV MAGHNIA,A00LAL04,SCIENCES ET TECHNOLOGIES,8.29,nan,nan,nan
U47,C. UNIV MAGHNIA,A05TCL01,GENIE CIVIL,10.7,nan,nan,nan
U47,C. UNIV MAGHNIA,F00LAL03,"SCIENCES ECONOMIQUES, DE GESTION ETCOMMERCIALES",10.07,nan,10.61,10.52
U47,C. UNIV MAGHNIA,G02LAL03,DROIT,10.0,nan,10.05,12.25
U47,C. UNIV MAGHNIA,H06LAL03,LANGUE ANGLAISE,10.03,nan,10.89,11.43
U47,C. UNIV MAGHNIA,I19LAL02,SCIENCES SOCIALES,10.06,nan,10.01,nan
U47,C. UNIV MAGHNIA,L00LAL02,LANGUE ET LITTERATURE ARABES,10.02,nan,10.03,nan
P24,"ECOLE SUPERIEURE DE MANAGEMENT DETLEMCEN",F00CAN03,"FB SECSG ECOLE SUPERIEURE DE MANAGEMENT DETLEMCEN",15.03,nan,nan,nan
P13,"ECOLE SUPERIEURE DES SCIENCESAPPLIQUEES DE TLEMCEN",A00CAN02,"FB ST ECOLE SUPERIEURE DES SCIENCES APPLIQUEES DETLEMCEN",14.8,nan,nan,nan
