"CodeEtb",Etablissement,Code Fil,Filiere,Min1,Min2,Unnamed: 0,Min3
R21,INFSPM SIDI BEL ABBES,X04SANTE,"KINESITHERAPEUTE DE SANTE PUBLIQUE -- pour bacheliersSIDIBEL-ABBES",15.93,--,nan,nan
R21,INFSPM SIDI BEL ABBES,X04SANTE,"KINESITHERAPEUTE DE SANTE PUBLIQUE -- pour bacheliersEL BAYADH",15.64,--,nan,nan
R21,INFSPM SIDI BEL ABBES,X04SANTE,"KINESITHERAPEUTE DE SANTE PUBLIQUE -- pour bacheliersNAAMA",15.72,--,nan,nan
R21,INFSPM SIDI BEL ABBES,X04SANTE,"KINESITHERAPEUTE DE SANTE PUBLIQUE -- pour bacheliersGHARDAIA",15.33,--,nan,nan
R21,INFSPM SIDI BEL ABBES,X09SANTE,"MANIPULATEUR EN IMAGERIE MEDICALE DE SANTEPUBLIQUE  -- pour bacheliers SIDIBEL-ABBES",15.32,--,nan,nan
R21,INFSPM SIDI BEL ABBES,X09SANTE,"MANIPULATEUR EN IMAGERIE MEDICALE DE SANTEPUBLIQUE  -- pour bacheliers NAAMA",14.43,17.36,nan,nan
R21,INFSPM SIDI BEL ABBES,X10SANTE,"LABORANTIN DE SANTE PUBLIQUE -- pour bacheliersSIDIBEL-ABBES",15.29,--,nan,nan
R21,INFSPM SIDI BEL ABBES,X10SANTE,"LABORANTIN DE SANTE PUBLIQUE -- pour bacheliersNAAMA",14.67,15.75,nan,nan
R21,INFSPM SIDI BEL ABBES,X11SANTE,"PREPARATEUR EN PHARMACIE DE SANTE PUBLIQUE --pour bacheliers ADRAR",13.52,14.20,nan,nan
R21,INFSPM SIDI BEL ABBES,X11SANTE,"PREPARATEUR EN PHARMACIE DE SANTE PUBLIQUE --pour bacheliers SIDIBEL-ABBES",15.16,--,nan,nan
R21,INFSPM SIDI BEL ABBES,X11SANTE,"PREPARATEUR EN PHARMACIE DE SANTE PUBLIQUE --pour bacheliers MASCARA",15.21,--,nan,nan
R21,INFSPM SIDI BEL ABBES,X11SANTE,"PREPARATEUR EN PHARMACIE DE SANTE PUBLIQUE --pour bacheliers NAAMA",14.27,--,nan,nan
R21,INFSPM SIDI BEL ABBES,X11SANTE,"PREPARATEUR EN PHARMACIE DE SANTE PUBLIQUE --pour bacheliers AIN-TEMOUCHENT",15.31,--,nan,nan
R21,INFSPM SIDI BEL ABBES,X11SANTE,"PREPARATEUR EN PHARMACIE DE SANTE PUBLIQUE --pour bacheliers TIMIMOUN",12.98,--,nan,nan
