Code,Etablissement,Code Fil,Filiere,Min1,Min2,Min3
Etb,nan,nan,nan,nan,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),K00PMN01,MUSIQUE (P.E.M) -- pour bacheliers JIJEL,14.92,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),K00PMN01,MUSIQUE (P.E.M) -- pour bacheliers SETIF,14.32,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),K00PMN01,MUSIQUE (P.E.M) -- pour bacheliers SAIDA,--,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),K00PMN01,MUSIQUE (P.E.M) -- pour bacheliers SKIKDA,13.81,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),K00PMN01,MUSIQUE (P.E.M) -- pour bacheliers SIDIBEL-ABBES,--,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),K00PMN01,MUSIQUE (P.E.M) -- pour bacheliers ANNABA,14.12,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),K00PMN01,MUSIQUE (P.E.M) -- pour bacheliers GUELMA,--,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),K00PMN01,MUSIQUE (P.E.M) -- pour bacheliers CONSTANTINE,14.48,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),K00PMN01,MUSIQUE (P.E.M) -- pour bacheliers MEDEA,14.30,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),K00PMN01,MUSIQUE (P.E.M) -- pour bacheliers MOSTAGANEM,--,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),K00PMN01,MUSIQUE (P.E.M) -- pour bacheliers MSILA,14.92,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),K00PMN01,MUSIQUE (P.E.M) -- pour bacheliers MASCARA,--,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),K00PMN01,MUSIQUE (P.E.M) -- pour bacheliers OUARGLA,11.30,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),K00PMN01,MUSIQUE (P.E.M) -- pour bacheliers ORAN,--,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),K00PMN01,MUSIQUE (P.E.M) -- pour bacheliers EL BAYADH,--,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),K00PMN01,MUSIQUE (P.E.M) -- pour bacheliers ILLIZI,--,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),K00PMN01,MUSIQUE (P.E.M) -- pour bacheliers B.B.ARRERIDJ,15.06,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),K00PMN01,MUSIQUE (P.E.M) -- pour bacheliers BOUMERDES,13.89,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),K00PMN01,MUSIQUE (P.E.M) -- pour bacheliers ELTARF,--,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),K00PMN01,MUSIQUE (P.E.M) -- pour bacheliers TINDOUF,--,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),K00PMN01,MUSIQUE (P.E.M) -- pour bacheliers TISSEMSILT,15.60,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),K00PMN01,MUSIQUE (P.E.M) -- pour bacheliers EL OUED,13.97,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),K00PMN01,MUSIQUE (P.E.M) -- pour bacheliers KHENCHLA,--,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),K00PMN01,MUSIQUE (P.E.M) -- pour bacheliers SOUK-AHRAS,--,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),K00PMN01,MUSIQUE (P.E.M) -- pour bacheliers TIPAZA,13.60,nan,nan
