"CodeEtb",Etablissement,Code Fil,Filiere,Min1,Min2,Min3
R27,INFSSF TLEMCEN,W01SANTE,"SAGE FEMME DE SANTE PUBLIQUE  (DEDIEE AUXBACHELIERES) -- pour bacheliers TIARET",15.42,16.23,nan
R27,INFSSF TLEMCEN,W01SANTE,"SAGE FEMME DE SANTE PUBLIQUE  (DEDIEE AUXBACHELIERES) -- pour bacheliers SAIDA",14.60,--,nan
R27,INFSSF TLEMCEN,W01SANTE,"SAGE FEMME DE SANTE PUBLIQUE  (DEDIEE AUXBACHELIERES) -- pour bacheliers SIDIBEL-ABBES",15.45,--,nan
R27,INFSSF TLEMCEN,W01SANTE,"SAGE FEMME DE SANTE PUBLIQUE  (DEDIEE AUXBACHELIERES) -- pour bacheliers MOSTAGANEM",14.88,--,nan
R27,INFSSF TLEMCEN,W01SANTE,"SAGE FEMME DE SANTE PUBLIQUE  (DEDIEE AUXBACHELIERES) -- pour bacheliers MASCARA",15.81,17.07,nan
R27,INFSSF TLEMCEN,W01SANTE,"SAGE FEMME DE SANTE PUBLIQUE  (DEDIEE AUXBACHELIERES) -- pour bacheliers ORAN",15.35,16.17,nan
R27,INFSSF TLEMCEN,W01SANTE,"SAGE FEMME DE SANTE PUBLIQUE  (DEDIEE AUXBACHELIERES) -- pour bacheliers EL BAYADH",14.42,--,nan
R27,INFSSF TLEMCEN,W01SANTE,"SAGE FEMME DE SANTE PUBLIQUE  (DEDIEE AUXBACHELIERES) -- pour bacheliers TINDOUF",11.34,13.24,nan
R27,INFSSF TLEMCEN,W01SANTE,"SAGE FEMME DE SANTE PUBLIQUE  (DEDIEE AUXBACHELIERES) -- pour bacheliers TISSEMSILT",14.92,--,nan
R27,INFSSF TLEMCEN,W01SANTE,"SAGE FEMME DE SANTE PUBLIQUE  (DEDIEE AUXBACHELIERES) -- pour bacheliers NAAMA",14.62,15.45,nan
R27,INFSSF TLEMCEN,W01SANTE,"SAGE FEMME DE SANTE PUBLIQUE  (DEDIEE AUXBACHELIERES) -- pour bacheliers AIN-TEMOUCHENT",15.73,--,nan
R27,INFSSF TLEMCEN,W01SANTE,"SAGE FEMME DE SANTE PUBLIQUE  (DEDIEE AUXBACHELIERES) -- pour bacheliers RELIZANE",15.59,--,nan
R27,INFSSF TLEMCEN,W01SANTE,"SAGE FEMME DE SANTE PUBLIQUE  (DEDIEE AUXBACHELIERES) -- pour bacheliers TIMIMOUN",13.00,--,nan
R27,INFSSF TLEMCEN,W01SANTE,"SAGE FEMME DE SANTE PUBLIQUE  (DEDIEE AUXBACHELIERES) -- pour bacheliers BORDJ BADJI MOKHTAR",--,--,nan
